uf,cargo,url_g1,resumo,candidaturas
MG,Deputado Estadual,https://g1.globo.com/mg/minas-gerais/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-minas-gerais-de-a-a-j.ghtml,MG tem 986 candidatos na disputa por 77 vagas; votação será em 4 de outubro.,986
MS,Deputado Estadual,https://g1.globo.com/ms/mato-grosso-do-sul/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-mato-grosso-do-sul.ghtml,MS tem 243 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,243
MT,Deputado Estadual,https://g1.globo.com/mt/mato-grosso/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-mato-grosso.ghtml,MT tem 259 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,259
PA,Deputado Estadual,https://g1.globo.com/pa/para/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-para.ghtml,PA tem 409 candidatos na disputa por 41 vagas; votação será em 4 de outubro.,409
PB,Deputado Estadual,https://g1.globo.com/pb/paraiba/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-na-paraiba.ghtml,PB tem 205 candidatos na disputa por 36 vagas; votação será em 4 de outubro.,205
PE,Deputado Estadual,https://g1.globo.com/pe/pernambuco/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-pernambuco-de-a-a-j.ghtml,PE tem 505 candidatos na disputa por 49 vagas; votação será em 4 de outubro.,505
PI,Deputado Estadual,https://g1.globo.com/pi/piaui/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-piaui.ghtml,PI tem 149 candidatos na disputa por 30 vagas; votação será em 4 de outubro.,149
PR,Deputado Estadual,https://g1.globo.com/pr/parana/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-parana-de-a-a-j.ghtml,PR tem 605 candidatos na disputa por 54 vagas; votação será em 4 de outubro.,605
RJ,Deputado Estadual,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-rio-de-janeiro-de-a-a-e.ghtml,RJ tem 1171 candidatos na disputa por 70 vagas; votação será em 4 de outubro.,1171
RN,Deputado Estadual,https://g1.globo.com/rn/rio-grande-do-norte/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-rio-grande-do-norte.ghtml,RN tem 151 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,151
RO,Deputado Estadual,https://g1.globo.com/ro/rondonia/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-rondonia.ghtml,RO tem 253 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,253
RR,Deputado Estadual,https://g1.globo.com/rr/roraima/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-roraima.ghtml,RR tem 236 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,236
RS,Deputado Estadual,https://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-rio-grande-do-sul-de-a-a-j.ghtml,RS tem 534 candidatos na disputa por 55 vagas; votação será em 4 de outubro.,534
SC,Deputado Estadual,https://g1.globo.com/sc/santa-catarina/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-santa-catarina.ghtml,SC tem 406 candidatos na disputa por 40 vagas; votação será em 4 de outubro.,406
SE,Deputado Estadual,https://g1.globo.com/se/sergipe/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-sergipe.ghtml,SE tem 217 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,217
SP,Deputado Estadual,https://g1.globo.com/sp/sao-paulo/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-em-sao-paulo-de-a-a-e.ghtml,SP tem 1404 candidatos na disputa por 94 vagas; votação será em 4 de outubro.,1404
TO,Deputado Estadual,https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/09/01/eleicoes-2026-veja-todos-os-candidatos-a-deputado-estadual-no-tocantins.ghtml,TO tem 198 candidatos na disputa por 24 vagas; votação será em 4 de outubro.,198
